root,probability
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.700640187100680073e-02
5.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.629315313515258476e-02
8.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.820513644543113319e-02
1.100000000000000000e+01,1.780555562645021531e-02
1.200000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,1.888404737446726031e-02
3.800000000000000000e+01,2.435317906525077958e-02
3.900000000000000000e+01,1.354459627826067568e-02
4.000000000000000000e+01,8.754092702208738416e-04
4.100000000000000000e+01,1.165187395246069200e-02
4.200000000000000000e+01,2.156673415349731268e-02
4.300000000000000000e+01,3.542454397981267128e-02
4.400000000000000000e+01,1.145724732008007729e-02
4.500000000000000000e+01,5.084368285460437453e-02
4.600000000000000000e+01,7.270491186841409985e-03
4.700000000000000000e+01,3.919205145937462720e-02
4.800000000000000000e+01,2.592020933609442621e-02
4.900000000000000000e+01,7.168177355614717416e-02
5.000000000000000000e+01,1.928387245201773278e-02
5.100000000000000000e+01,2.895920830421178441e-02
5.200000000000000000e+01,3.024624956239265264e-02
5.300000000000000000e+01,1.823445469644410441e-02
5.400000000000000000e+01,5.429026543242856939e-03
5.500000000000000000e+01,1.865984644084738367e-02
5.600000000000000000e+01,1.731643272237278625e-02
5.700000000000000000e+01,1.755129533631863761e-02
5.800000000000000000e+01,3.875860856642322771e-02
5.900000000000000000e+01,4.524001205506183315e-02
6.000000000000000000e+01,1.801320131338333963e-02
6.100000000000000000e+01,2.677935892786864613e-02
6.200000000000000000e+01,0.000000000000000000e+00
6.300000000000000000e+01,1.016332970520206908e-01
6.400000000000000000e+01,4.176334487995733008e-02
6.500000000000000000e+01,5.576261809653433599e-03
6.600000000000000000e+01,3.549100736088738051e-02
6.700000000000000000e+01,0.000000000000000000e+00
6.800000000000000000e+01,2.089314065923478236e-02
6.900000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+01,3.248297842441481148e-02
7.100000000000000000e+01,1.508462847683929818e-02
7.200000000000000000e+01,1.492041380002746657e-02
7.300000000000000000e+01,0.000000000000000000e+00
7.400000000000000000e+01,0.000000000000000000e+00
7.500000000000000000e+01,0.000000000000000000e+00
7.600000000000000000e+01,0.000000000000000000e+00
7.700000000000000000e+01,0.000000000000000000e+00
7.800000000000000000e+01,0.000000000000000000e+00
7.900000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+01,7.275078525978887108e-03
8.100000000000000000e+01,2.673294361468387011e-03
8.200000000000000000e+01,2.575890086377907381e-02
8.300000000000000000e+01,0.000000000000000000e+00
8.400000000000000000e+01,0.000000000000000000e+00
8.500000000000000000e+01,0.000000000000000000e+00
8.600000000000000000e+01,0.000000000000000000e+00
8.700000000000000000e+01,0.000000000000000000e+00
8.800000000000000000e+01,0.000000000000000000e+00
8.900000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+01,0.000000000000000000e+00
9.100000000000000000e+01,0.000000000000000000e+00
9.200000000000000000e+01,0.000000000000000000e+00
9.300000000000000000e+01,0.000000000000000000e+00
9.400000000000000000e+01,0.000000000000000000e+00
9.500000000000000000e+01,0.000000000000000000e+00
9.600000000000000000e+01,0.000000000000000000e+00
9.700000000000000000e+01,0.000000000000000000e+00
9.800000000000000000e+01,0.000000000000000000e+00
9.900000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+02,0.000000000000000000e+00
