key,expected_reward
1.000000000000000000e+00,9.999999999558972785e-07
2.000000000000000000e+00,9.999999999177333621e-07
3.000000000000000000e+00,2.500010000000001398e-01
4.000000000000000000e+00,1.000000000240391929e-06
5.000000000000000000e+00,3.919753925159723540e-01
6.000000000000000000e+00,9.980203841214133065e-02
7.000000000000000000e+00,2.312851718792625078e-01
8.000000000000000000e+00,9.253319331539623660e-02
9.000000000000000000e+00,4.909100622727001484e-03
1.000000000000000000e+01,4.753901447216436066e-02
1.100000000000000000e+01,3.478585736691606201e-01
1.200000000000000000e+01,1.000000000167533543e-06
1.300000000000000000e+01,1.000000004656997898e-06
1.400000000000000000e+01,9.999999954872496044e-07
1.500000000000000000e+01,2.561949561370146511e-01
1.600000000000000000e+01,5.750494032574250680e-03
1.700000000000000000e+01,5.989825176192674350e-02
1.800000000000000000e+01,9.999999999264069794e-07
1.900000000000000000e+01,1.000000008150730979e-06
2.000000000000000000e+01,2.507656936078026672e-02
2.100000000000000000e+01,1.381239238560298954e-01
2.200000000000000000e+01,9.999999998760999986e-07
2.300000000000000000e+01,8.497265809146380133e-02
2.400000000000000000e+01,8.444969476873587233e-02
2.500000000000000000e+01,5.703247763412491733e-02
2.600000000000000000e+01,1.000000000080797369e-06
2.700000000000000000e+01,2.598317965441136745e-02
2.800000000000000000e+01,5.404246552105652912e-02
2.900000000000000000e+01,2.657852892592492133e-01
3.000000000000000000e+01,1.000000025667968639e-06
3.100000000000000000e+01,3.315121429708537959e-01
3.200000000000000000e+01,1.000000007720519557e-06
3.300000000000000000e+01,9.999999999420194907e-07
3.400000000000000000e+01,1.000000005295376138e-06
3.500000000000000000e+01,9.421941209232448378e-02
3.600000000000000000e+01,4.337363498250823568e-02
3.700000000000000000e+01,1.169471952390654934e-02
3.800000000000000000e+01,1.000000014551860605e-06
3.900000000000000000e+01,9.461550941017571326e-02
4.000000000000000000e+01,9.999999998448749761e-07
4.100000000000000000e+01,3.343405890057485341e-02
4.200000000000000000e+01,1.000000004379442142e-06
4.300000000000000000e+01,1.000000002384510145e-06
4.400000000000000000e+01,9.400683412276333861e-02
4.500000000000000000e+01,1.000000013164081825e-06
4.600000000000000000e+01,9.999999880348775516e-07
4.700000000000000000e+01,9.999999984605656422e-07
4.800000000000000000e+01,9.999999970103368163e-07
4.900000000000000000e+01,1.000000010601895251e-06
5.000000000000000000e+01,9.999999894261257793e-07
5.100000000000000000e+01,1.000000003553713768e-06
5.200000000000000000e+01,9.999999947621351915e-07
5.300000000000000000e+01,1.000000003845147312e-06
5.400000000000000000e+01,3.543478327344119078e-02
5.500000000000000000e+01,1.000000010055457356e-06
5.600000000000000000e+01,1.000000003265749671e-06
5.700000000000000000e+01,3.151718918771751615e-02
5.800000000000000000e+01,1.000000000243861376e-06
5.900000000000000000e+01,9.937167892403961367e-02
6.000000000000000000e+01,9.898213066143270178e-02
6.100000000000000000e+01,9.999999997928332718e-07
6.200000000000000000e+01,2.162062945762310284e-01
6.300000000000000000e+01,3.559421422185120587e-01
6.400000000000000000e+01,1.214433985911642921e-01
6.500000000000000000e+01,9.999999984258711727e-07
6.600000000000000000e+01,2.333784852204490168e-01
6.700000000000000000e+01,1.260977484318010489e-01
6.800000000000000000e+01,9.999999817794646972e-07
6.900000000000000000e+01,3.447911774162052551e-02
7.000000000000000000e+01,4.379940601641815201e-01
7.100000000000000000e+01,9.999999883124333078e-07
7.200000000000000000e+01,7.496509639715757123e-01
7.300000000000000000e+01,2.163470412564408307e-01
7.400000000000000000e+01,2.800304559448040798e-01
7.500000000000000000e+01,3.644558902690793745e-01
7.600000000000000000e+01,1.823033225691301218e-01
7.700000000000000000e+01,2.334035960296000911e-01
7.800000000000000000e+01,3.298212230688770674e-01
7.900000000000000000e+01,9.999999859428010396e-07
8.000000000000000000e+01,4.579318989211645929e-01
8.100000000000000000e+01,4.288493949950938355e-01
8.200000000000000000e+01,5.035766614298458066e-01
8.300000000000000000e+01,1.996779980420649303e-01
8.400000000000000000e+01,2.907369779591494341e-01
8.500000000000000000e+01,1.216453022137999468e-01
8.600000000000000000e+01,2.208952361331318615e-01
8.700000000000000000e+01,5.901435583174201582e-01
8.800000000000000000e+01,4.357239896320755368e-01
8.900000000000000000e+01,1.000000000113757115e-06
9.000000000000000000e+01,5.611638980309812119e-01
9.100000000000000000e+01,2.796169077220578281e-01
9.200000000000000000e+01,3.926016289140313864e-01
9.300000000000000000e+01,1.198701117222260304e-01
9.400000000000000000e+01,2.450788542178909957e-01
9.500000000000000000e+01,2.039215280627712235e-01
9.600000000000000000e+01,5.000009999999996957e-01
9.700000000000000000e+01,1.000000000070389028e-06
9.800000000000000000e+01,2.500009999999997512e-01
9.900000000000000000e+01,9.999999999801834072e-07
1.000000000000000000e+02,9.999999999350805968e-07
