root,weight
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.517589559909944583e-03
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,3.753635497305751051e-02
5.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.621613901170687794e-02
1.100000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,3.425396769311114115e-02
3.600000000000000000e+01,9.308420245937948367e-03
3.700000000000000000e+01,3.975483864464861988e-02
3.800000000000000000e+01,5.459425357622581937e-02
3.900000000000000000e+01,1.787706963067154471e-03
4.000000000000000000e+01,2.444311250206729347e-02
4.100000000000000000e+01,1.604329280367586177e-03
4.200000000000000000e+01,2.617858574515609382e-02
4.300000000000000000e+01,2.662181880366171899e-02
4.400000000000000000e+01,2.919249667135425177e-02
4.500000000000000000e+01,3.314387936594561518e-02
4.600000000000000000e+01,1.328364379675855272e-02
4.700000000000000000e+01,2.902949757164094077e-02
4.800000000000000000e+01,1.195965752301081549e-02
4.900000000000000000e+01,6.246120407743617486e-02
5.000000000000000000e+01,3.511250399495745300e-02
5.100000000000000000e+01,3.511250399493566487e-02
5.200000000000000000e+01,6.246120407743890185e-02
5.300000000000000000e+01,1.195965752301372462e-02
5.400000000000000000e+01,2.902949757163940034e-02
5.500000000000000000e+01,1.328364379676043490e-02
5.600000000000000000e+01,3.314387936592730344e-02
5.700000000000000000e+01,2.919249667135912288e-02
5.800000000000000000e+01,2.662181880366074754e-02
5.900000000000000000e+01,2.617858574515742956e-02
6.000000000000000000e+01,1.604329280356809207e-03
6.100000000000000000e+01,2.444311250207753874e-02
6.200000000000000000e+01,1.787706963077129131e-03
6.300000000000000000e+01,5.459425357621578573e-02
6.400000000000000000e+01,3.975483864463644212e-02
6.500000000000000000e+01,9.308420245946583821e-03
6.600000000000000000e+01,3.425396769310112832e-02
6.700000000000000000e+01,0.000000000000000000e+00
6.800000000000000000e+01,0.000000000000000000e+00
6.900000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+01,0.000000000000000000e+00
7.100000000000000000e+01,0.000000000000000000e+00
7.200000000000000000e+01,0.000000000000000000e+00
7.300000000000000000e+01,0.000000000000000000e+00
7.400000000000000000e+01,0.000000000000000000e+00
7.500000000000000000e+01,0.000000000000000000e+00
7.600000000000000000e+01,0.000000000000000000e+00
7.700000000000000000e+01,0.000000000000000000e+00
7.800000000000000000e+01,0.000000000000000000e+00
7.900000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+01,0.000000000000000000e+00
8.100000000000000000e+01,0.000000000000000000e+00
8.200000000000000000e+01,0.000000000000000000e+00
8.300000000000000000e+01,0.000000000000000000e+00
8.400000000000000000e+01,0.000000000000000000e+00
8.500000000000000000e+01,0.000000000000000000e+00
8.600000000000000000e+01,0.000000000000000000e+00
8.700000000000000000e+01,0.000000000000000000e+00
8.800000000000000000e+01,0.000000000000000000e+00
8.900000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+01,0.000000000000000000e+00
9.100000000000000000e+01,2.621613901169843677e-02
9.200000000000000000e+01,0.000000000000000000e+00
9.300000000000000000e+01,0.000000000000000000e+00
9.400000000000000000e+01,0.000000000000000000e+00
9.500000000000000000e+01,0.000000000000000000e+00
9.600000000000000000e+01,0.000000000000000000e+00
9.700000000000000000e+01,3.753635497306426205e-02
9.800000000000000000e+01,0.000000000000000000e+00
9.900000000000000000e+01,3.517589559913275252e-03
1.000000000000000000e+02,0.000000000000000000e+00
