key,expected_reward
1.000000000000000000e+00,2.852439105386595647e-02
2.000000000000000000e+00,2.852439105386354867e-02
3.000000000000000000e+00,2.750068014939608396e-01
4.000000000000000000e+00,2.852439105386900264e-02
5.000000000000000000e+00,3.361678964427107785e-01
6.000000000000000000e+00,2.391645049525427669e-01
7.000000000000000000e+00,4.624131885147713533e-02
8.000000000000000000e+00,3.566707506844225828e-02
9.000000000000000000e+00,1.152268363887921643e-01
1.000000000000000000e+01,9.857729999166815749e-02
1.100000000000000000e+01,3.302805968148167515e-01
1.200000000000000000e+01,1.612743312389318950e-01
1.300000000000000000e+01,1.080600729300809915e-01
1.400000000000000000e+01,2.047130626589300229e-01
1.500000000000000000e+01,5.351169276179115059e-02
1.600000000000000000e+01,1.090535059564150949e-01
1.700000000000000000e+01,8.132772775888263972e-02
1.800000000000000000e+01,8.888133065211287209e-02
1.900000000000000000e+01,2.852439105386208457e-02
2.000000000000000000e+01,1.650692188443569908e-01
2.100000000000000000e+01,1.966587408905307033e-01
2.200000000000000000e+01,5.568136039621211786e-02
2.300000000000000000e+01,1.018651956214128851e-01
2.400000000000000000e+01,2.612970248105571103e-01
2.500000000000000000e+01,1.503328433913998785e-01
2.600000000000000000e+01,5.860148997576163088e-02
2.700000000000000000e+01,2.013622031421409830e-01
2.800000000000000000e+01,3.231455436997582309e-01
2.900000000000000000e+01,2.448313390835840930e-01
3.000000000000000000e+01,2.852439105386714302e-02
3.100000000000000000e+01,1.447804079989663539e-01
3.200000000000000000e+01,4.367434373646014723e-02
3.300000000000000000e+01,2.852439105386592524e-02
3.400000000000000000e+01,1.239106647326450317e-01
3.500000000000000000e+01,1.140282071116660162e-01
3.600000000000000000e+01,2.852439105390694452e-02
3.700000000000000000e+01,2.852439105386212967e-02
3.800000000000000000e+01,2.433186904600533329e-01
3.900000000000000000e+01,2.852439105384560816e-02
4.000000000000000000e+01,3.029161620604602090e-02
4.100000000000000000e+01,2.852439105386203599e-02
4.200000000000000000e+01,2.852439105383489104e-02
4.300000000000000000e+01,2.852439105385832369e-02
4.400000000000000000e+01,2.852439105388372698e-02
4.500000000000000000e+01,2.852439105385614140e-02
4.600000000000000000e+01,2.852439105386213314e-02
4.700000000000000000e+01,2.852439105386288254e-02
4.800000000000000000e+01,2.852439105386775364e-02
4.900000000000000000e+01,2.852439105386366663e-02
5.000000000000000000e+01,2.852439105391796348e-02
5.100000000000000000e+01,2.852439105382033671e-02
5.200000000000000000e+01,2.852439105387705176e-02
5.300000000000000000e+01,2.852439105386027351e-02
5.400000000000000000e+01,2.852439105386935653e-02
5.500000000000000000e+01,2.852439105385826817e-02
5.600000000000000000e+01,2.852439105383605678e-02
5.700000000000000000e+01,2.852439105384055665e-02
5.800000000000000000e+01,2.852439105384077522e-02
5.900000000000000000e+01,2.852439105387763463e-02
6.000000000000000000e+01,2.852439105385110030e-02
6.100000000000000000e+01,3.029161620608758140e-02
6.200000000000000000e+01,2.852439105387007123e-02
6.300000000000000000e+01,2.433186904600097011e-01
6.400000000000000000e+01,2.852439105382190143e-02
6.500000000000000000e+01,2.852439105387967466e-02
6.600000000000000000e+01,1.140282071116574814e-01
6.700000000000000000e+01,1.239106647326081723e-01
6.800000000000000000e+01,2.852439105384965007e-02
6.900000000000000000e+01,4.367434373647312296e-02
7.000000000000000000e+01,1.447804079989446213e-01
7.100000000000000000e+01,2.852439105385459750e-02
7.200000000000000000e+01,2.448313390836142633e-01
7.300000000000000000e+01,3.231455436997747732e-01
7.400000000000000000e+01,2.013622031421647973e-01
7.500000000000000000e+01,5.860148997568115359e-02
7.600000000000000000e+01,1.503328433914470630e-01
7.700000000000000000e+01,2.612970248105113691e-01
7.800000000000000000e+01,1.018651956213986326e-01
7.900000000000000000e+01,5.568136039619771271e-02
8.000000000000000000e+01,1.966587408905148548e-01
8.100000000000000000e+01,1.650692188443285691e-01
8.200000000000000000e+01,2.852439105386546381e-02
8.300000000000000000e+01,8.888133065205598704e-02
8.400000000000000000e+01,8.132772775885174776e-02
8.500000000000000000e+01,1.090535059564543552e-01
8.600000000000000000e+01,5.351169276175798267e-02
8.700000000000000000e+01,2.047130626589640512e-01
8.800000000000000000e+01,1.080600729300502383e-01
8.900000000000000000e+01,1.612743312389025574e-01
9.000000000000000000e+01,3.302805968148185833e-01
9.100000000000000000e+01,9.857729999160205758e-02
9.200000000000000000e+01,1.152268363887487268e-01
9.300000000000000000e+01,3.566707506839145170e-02
9.400000000000000000e+01,4.624131885148798082e-02
9.500000000000000000e+01,2.391645049524664945e-01
9.600000000000000000e+01,3.361678964426487726e-01
9.700000000000000000e+01,2.852439105386395113e-02
9.800000000000000000e+01,2.750068014939655026e-01
9.900000000000000000e+01,2.852439105386189722e-02
1.000000000000000000e+02,2.852439105387069573e-02
